payment_id,booking_id,amount,payment_method
PAY1061,B1114,8187.33,NETBANKING
PAY1062,B1459,12554.5,CARD
PAY1063,B1831,12421.49,CARD
PAY1064,B1504,14087.19,NETBANKING
PAY1065,B1307,12772.93,CARD
PAY1066,B1931,10011.51,CARD
PAY1067,B1962,9530.25,CARD
PAY1068,B1324,7543.0,NETBANKING
PAY1069,B1578,,UPI
PAY1070,B1760,12133.03,NETBANKING
PAY1071,B1174,,NETBANKING
PAY1072,B1850,7542.02,CARD
PAY1073,B1513,9031.14,CARD
PAY1074,B1171,7227.28,UPI
PAY1075,B1996,10358.84,UPI
PAY1076,B1959,9818.89,UPI
PAY1077,B1501,,UPI
PAY1078,B1976,8576.26,NETBANKING
PAY1079,B1333,2238.82,UPI
PAY1080,B1283,1369.37,NETBANKING
PAY1081,B1474,12076.76,CARD
PAY1082,B1053,4621.1,UPI
PAY1083,B1457,5769.17,CARD
PAY1084,B1578,1897.18,CARD
PAY1085,B1419,3513.0,NETBANKING
PAY1086,B1613,11718.47,UPI
PAY1087,B1631,7909.43,NETBANKING
PAY1088,B1702,13329.36,CARD
PAY1089,B1408,6561.39,UPI
PAY1090,B1981,4761.81,CARD
PAY1091,B1303,5866.4,CARD
PAY1092,B1934,10978.81,UPI
PAY1093,B1558,8770.08,UPI
PAY1094,B1221,13658.68,UPI
PAY1095,B1532,9430.36,NETBANKING
PAY1096,B1157,7902.25,NETBANKING
PAY1097,B1347,12000.54,CARD
PAY1098,B1158,14265.47,UPI
PAY1099,B1888,5981.84,CARD
PAY1100,B1883,4498.27,CARD
PAY1101,B1921,9627.04,CARD
PAY1102,B1234,7984.22,CARD
PAY1103,B1661,14848.6,CARD
PAY1104,B1404,7473.06,UPI
PAY1105,B1256,2040.64,NETBANKING
PAY1106,B1676,14683.17,UPI
PAY1107,B1588,12810.22,UPI
PAY1108,B1596,3495.5,UPI
PAY1109,B1557,13664.47,NETBANKING
PAY1110,B1904,5769.34,NETBANKING
PAY1111,B1912,6279.57,NETBANKING
PAY1112,B1046,13689.48,UPI
PAY1113,B1212,8421.62,NETBANKING
PAY1114,B1478,2928.68,CARD
PAY1115,B1486,6166.79,NETBANKING
PAY1116,B1570,11109.36,UPI
PAY1117,B1565,3438.58,UPI
PAY1118,B1341,9263.24,CARD
PAY1119,B1523,10733.84,NETBANKING
PAY1120,B1703,5813.95,NETBANKING
PAY1121,B1502,10714.33,CARD
PAY1122,B1005,13378.9,UPI
PAY1123,B1820,7609.63,UPI
PAY1124,B1143,6360.73,NETBANKING
PAY1125,B1857,4516.22,NETBANKING
PAY1126,B1260,9458.88,NETBANKING
PAY1127,B1584,13317.93,NETBANKING
PAY1128,B1685,5545.26,NETBANKING
PAY1129,B1231,6547.3,UPI
PAY1130,B1269,6692.76,UPI
PAY1131,B1939,8851.37,UPI
PAY1132,B1446,4197.73,UPI
PAY1133,B1873,12510.96,CARD
PAY1134,B1221,5138.43,UPI
PAY1135,B1051,10875.08,CARD
PAY1136,B1115,8185.02,UPI
PAY1137,B1537,9202.57,NETBANKING
PAY1138,B1564,3514.52,NETBANKING
PAY1139,B1876,11290.32,NETBANKING
PAY1140,B1540,3640.69,CARD
PAY1141,B1018,2588.63,UPI
PAY1142,B1814,8653.51,UPI
PAY1143,B1391,10930.16,CARD
PAY1144,B1790,1700.5,CARD
PAY1145,B1628,1971.53,CARD
PAY1146,B1617,12237.51,CARD
PAY1147,B1418,12326.46,CARD
PAY1148,B1990,4434.27,NETBANKING
PAY1149,B1308,9613.19,UPI
PAY1150,B1738,7204.52,CARD
PAY1151,B1863,9857.74,NETBANKING
PAY1152,B1185,13080.31,CARD
PAY1153,B1260,2117.99,NETBANKING
PAY1154,B1527,11891.78,CARD
PAY1155,B1272,7902.41,UPI
PAY1156,B1159,8897.78,CARD
PAY1157,B1869,10155.04,CARD
PAY1158,B1761,13916.72,UPI
PAY1159,B1223,1794.08,UPI
PAY1160,B1255,1412.67,CARD
PAY1161,B1179,3495.66,UPI
PAY1162,B1019,14810.27,UPI
PAY1163,B1623,11011.07,NETBANKING
PAY1164,B1631,9604.98,UPI
PAY1165,B1705,1658.55,UPI
PAY1166,B1467,13307.54,CARD
PAY1167,B1622,12378.6,CARD
PAY1168,B1209,10307.2,NETBANKING
PAY1169,B1512,5747.83,CARD
PAY1170,B1057,1987.07,UPI
PAY1171,B1092,9120.54,UPI
PAY1172,B1220,11075.72,UPI
PAY1173,B1722,,CARD
PAY1174,B1939,9872.75,UPI
PAY1175,B1231,5009.12,UPI
PAY1176,B1773,11699.42,NETBANKING
PAY1177,B1363,8554.62,NETBANKING
PAY1178,B1614,2806.52,NETBANKING
PAY1179,B1561,8371.27,CARD
PAY1180,B1373,6540.32,UPI
PAY1181,B1621,3524.98,UPI
PAY1182,B1455,12781.22,UPI
PAY1183,B1087,1154.4,NETBANKING
PAY1184,B1019,,UPI
PAY1185,B1013,1176.33,UPI
PAY1186,B1132,,UPI
PAY1187,B1936,5159.35,UPI
PAY1188,B1807,1759.8,UPI
PAY1189,B1033,9352.83,CARD
PAY1190,B1891,2216.08,UPI
PAY1191,B1207,10823.99,CARD
PAY1192,B1812,1736.99,UPI
PAY1193,B1198,1830.32,CARD
PAY1194,B1591,5274.56,UPI
PAY1195,B1582,13552.0,UPI
PAY1196,B1154,9979.51,UPI
PAY1197,B1589,11781.84,UPI
PAY1198,B1077,2981.73,NETBANKING
PAY1199,B1171,12677.76,UPI
PAY1200,B1288,1114.05,CARD
PAY1201,B1544,3982.8,NETBANKING
PAY1202,B1811,9625.29,NETBANKING
PAY1203,B1787,6253.45,UPI
PAY1204,B1878,14778.71,CARD
PAY1205,B1419,1424.75,CARD
PAY1206,B1006,14980.37,NETBANKING
PAY1207,B1159,,CARD
PAY1208,B1239,8821.9,UPI
PAY1209,B1962,1833.17,UPI
PAY1210,B1422,4826.6,UPI
PAY1211,B1988,13945.28,UPI
PAY1212,B1535,5959.44,UPI
PAY1213,B1725,,NETBANKING
PAY1214,B1069,14992.95,UPI
PAY1215,B1879,4682.98,UPI
PAY1216,B1215,9065.13,NETBANKING
PAY1217,B1103,10750.13,NETBANKING
PAY1218,B1726,3304.78,NETBANKING
PAY1219,B1053,3081.42,CARD
PAY1220,B1805,,CARD
PAY1221,B1329,6401.38,UPI
PAY1222,B1847,10999.02,UPI
PAY1223,B1202,1973.12,UPI
PAY1224,B1287,14610.33,CARD
PAY1225,B1044,1199.88,UPI
PAY1226,B1828,9418.44,UPI
PAY1227,B1197,8876.86,CARD
PAY1228,B1215,2886.02,NETBANKING
PAY1229,B1480,3112.82,CARD
PAY1230,B1308,12097.48,UPI
PAY1231,B1895,13425.87,CARD
PAY1232,B1434,4962.24,NETBANKING
PAY1233,B1331,7131.5,NETBANKING
PAY1234,B1695,5969.93,NETBANKING
PAY1235,B1026,2015.66,NETBANKING
PAY1236,B1165,10424.86,NETBANKING
PAY1237,B1317,12552.7,NETBANKING
PAY1238,B1273,5268.31,UPI
PAY1239,B1382,14862.46,UPI
PAY1240,B1364,2061.92,CARD
PAY1241,B1102,10265.07,UPI
PAY1242,B1959,7275.19,NETBANKING
PAY1243,B1502,7252.43,UPI
PAY1244,B1844,,CARD
PAY1245,B1372,4621.54,NETBANKING
PAY1246,B1615,11017.88,UPI
PAY1247,B1925,11102.07,UPI
PAY1248,B1244,4953.56,CARD
PAY1249,B1816,,NETBANKING
PAY1250,B1168,5435.83,CARD
PAY1251,B1627,11151.3,NETBANKING
PAY1252,B1652,2694.0,NETBANKING
PAY1253,B1417,3361.82,UPI
PAY1254,B1355,5421.14,CARD
PAY1255,B1477,9314.23,CARD
PAY1256,B1124,,CARD
PAY1257,B1536,6548.99,NETBANKING
PAY1258,B1705,2089.75,CARD
PAY1259,B1895,6230.89,NETBANKING
PAY1260,B1611,10642.75,CARD
PAY1261,B1401,10393.94,CARD
PAY1262,B1516,3242.75,UPI
PAY1263,B1530,1108.98,CARD
PAY1264,B1681,11541.74,UPI
PAY1265,B1785,2489.15,UPI
PAY1266,B1253,2152.89,NETBANKING
PAY1267,B1120,1037.82,CARD
PAY1268,B1031,7056.42,CARD
PAY1269,B1660,,CARD
PAY1270,B1777,9927.3,UPI
PAY1271,B1036,5144.89,CARD
PAY1272,B1688,10945.95,NETBANKING
PAY1273,B1341,,NETBANKING
PAY1274,B1012,12647.86,CARD
PAY1275,B1182,9005.88,UPI
PAY1276,B1656,9174.46,NETBANKING
PAY1277,B1264,3936.86,NETBANKING
PAY1278,B1087,2037.52,UPI
PAY1279,B1939,7506.15,NETBANKING
PAY1280,B1461,9618.57,UPI
PAY1281,B1045,2330.65,NETBANKING
PAY1282,B1391,14307.48,UPI
PAY1283,B1118,,NETBANKING
PAY1284,B1932,8636.39,CARD
PAY1285,B1530,14300.97,NETBANKING
PAY1286,B1446,3512.23,NETBANKING
PAY1287,B1731,1355.89,CARD
PAY1288,B1941,1551.73,CARD
PAY1289,B1744,9225.17,CARD
PAY1290,B1605,,CARD
PAY1291,B1966,14419.64,UPI
PAY1292,B1762,2987.06,UPI
PAY1293,B1761,5266.12,NETBANKING
PAY1294,B1793,12515.25,NETBANKING
PAY1295,B1743,4062.36,NETBANKING
PAY1296,B1045,4401.56,UPI
PAY1297,B1885,9992.33,NETBANKING
PAY1298,B1507,4865.21,NETBANKING
PAY1299,B1557,4044.27,UPI
PAY1300,B1970,4558.49,NETBANKING
PAY1301,B1525,7869.06,UPI
PAY1302,B1596,14525.4,UPI
PAY1303,B1830,12651.33,CARD
PAY1304,B1839,4984.54,CARD
PAY1305,B1002,6087.22,UPI
PAY1306,B1027,7503.17,UPI
PAY1307,B1380,14705.02,CARD
PAY1308,B1156,3413.47,NETBANKING
PAY1309,B1854,6004.76,NETBANKING
PAY1310,B1913,11211.97,NETBANKING
PAY1311,B1930,,UPI
PAY1312,B1510,3179.45,CARD
PAY1313,B1332,4183.32,NETBANKING
PAY1314,B1843,4159.73,CARD
PAY1315,B1686,1293.05,CARD
PAY1316,B1113,9457.62,UPI
PAY1317,B1388,10389.84,NETBANKING
PAY1318,B1486,9435.36,CARD
PAY1319,B1842,1998.52,UPI
PAY1320,B1249,1969.22,UPI
PAY1321,B1570,3945.41,UPI
PAY1322,B1714,5064.12,NETBANKING
PAY1323,B1314,,NETBANKING
PAY1324,B1238,3231.46,UPI
PAY1325,B1233,1617.29,NETBANKING
PAY1326,B1302,6515.83,NETBANKING
PAY1327,B1606,6829.49,CARD
PAY1328,B1990,,UPI
PAY1329,B1652,12576.65,UPI
PAY1330,B1333,2372.08,NETBANKING
PAY1331,B1112,10855.19,UPI
PAY1332,B1620,5731.24,UPI
PAY1333,B1361,5339.72,UPI
PAY1334,B1856,14055.6,NETBANKING
PAY1335,B1800,4478.56,NETBANKING
PAY1336,B1096,9995.45,NETBANKING
PAY1337,B1957,4851.79,CARD
PAY1338,B1846,8100.01,UPI
PAY1339,B1015,12008.1,CARD
PAY1340,B1555,13344.12,NETBANKING
PAY1341,B1953,12741.76,CARD
PAY1342,B1375,9150.53,UPI
PAY1343,B1741,4483.43,UPI
PAY1344,B1389,,NETBANKING
PAY1345,B1619,10938.67,NETBANKING
PAY1346,B1216,1149.69,CARD
PAY1347,B1398,7148.95,NETBANKING
PAY1348,B1259,12805.67,CARD
PAY1349,B1823,7854.23,UPI
PAY1350,B1319,5359.26,UPI
PAY1351,B1195,13205.17,UPI
PAY1352,B1477,3182.33,UPI
PAY1353,B1417,3890.23,UPI
PAY1354,B1474,10623.21,CARD
PAY1355,B1606,5934.1,UPI
PAY1356,B1567,10982.24,CARD
PAY1357,B1543,3207.85,UPI
PAY1358,B1230,4531.77,CARD
PAY1359,B1883,3193.06,CARD
PAY1360,B1520,14340.74,CARD
PAY1361,B1702,,NETBANKING
PAY1362,B1872,5721.08,CARD
PAY1363,B1199,1198.83,CARD
PAY1364,B1845,3147.85,UPI
PAY1365,B1672,6895.9,CARD
PAY1366,B1598,1959.04,CARD
PAY1367,B1020,8150.35,NETBANKING
PAY1368,B1310,7370.22,UPI
PAY1369,B1587,11740.35,NETBANKING
PAY1370,B1952,10237.24,NETBANKING
PAY1371,B1897,7243.26,NETBANKING
PAY1372,B1652,4145.25,CARD
PAY1373,B1637,11176.09,NETBANKING
PAY1374,B1762,10910.07,NETBANKING
PAY1375,B1899,3146.15,UPI
PAY1376,B1595,13806.53,UPI
PAY1377,B1433,1901.67,UPI
PAY1378,B1370,1770.53,UPI
PAY1379,B1559,3622.91,NETBANKING
PAY1380,B1890,13732.45,UPI
PAY1381,B1077,8279.97,CARD
PAY1382,B1541,12031.17,NETBANKING
PAY1383,B1284,4189.8,UPI
PAY1384,B1647,7863.11,NETBANKING
PAY1385,B1139,6016.05,UPI
PAY1386,B1552,12589.6,NETBANKING
PAY1387,B1997,,UPI
PAY1388,B1281,4413.8,CARD
PAY1389,B1561,3136.04,UPI
PAY1390,B1257,13028.65,NETBANKING
PAY1391,B1822,7545.61,NETBANKING
PAY1392,B1359,,CARD
PAY1393,B1439,7292.76,NETBANKING
PAY1394,B1269,14606.94,CARD
PAY1395,B1133,12903.74,NETBANKING
PAY1396,B1745,10889.16,NETBANKING
PAY1397,B1639,5066.71,CARD
PAY1398,B1103,3312.42,NETBANKING
PAY1399,B1765,13900.07,NETBANKING
PAY1400,B1094,6923.06,CARD
PAY1401,B1848,4902.58,UPI
PAY1402,B1728,7592.89,CARD
PAY1403,B1572,13849.86,NETBANKING
PAY1404,B1479,6418.94,UPI
PAY1405,B1779,8876.97,UPI
PAY1406,B1240,12241.53,UPI
PAY1407,B1012,6979.86,CARD
PAY1408,B1146,,UPI
PAY1409,B1939,14923.36,UPI
PAY1410,B1751,14391.99,UPI
PAY1411,B1600,12808.71,NETBANKING
PAY1412,B1094,10637.23,CARD
PAY1413,B1826,5128.12,CARD
PAY1414,B1292,13787.78,NETBANKING
PAY1415,B1024,4857.79,UPI
PAY1416,B1271,12211.33,NETBANKING
PAY1417,B1504,13855.61,NETBANKING
PAY1418,B1165,9442.05,UPI
PAY1419,B1938,12242.79,UPI
PAY1420,B1761,12083.73,CARD
PAY1421,B1086,3704.21,UPI
PAY1422,B1653,10350.94,NETBANKING
PAY1423,B1645,2308.55,NETBANKING
PAY1424,B1984,8109.9,UPI
PAY1425,B1790,3271.3,CARD
PAY1426,B1637,6828.89,NETBANKING
PAY1427,B1827,12661.75,UPI
PAY1428,B1490,,CARD
PAY1429,B1907,5451.44,CARD
PAY1430,B1140,8447.38,NETBANKING
PAY1431,B1867,8158.17,NETBANKING
PAY1432,B1102,14361.62,CARD
PAY1433,B1225,,CARD
PAY1434,B1901,10787.49,CARD
PAY1435,B1574,13905.05,UPI
PAY1436,B1293,6227.3,NETBANKING
PAY1437,B1895,13629.71,CARD
PAY1438,B1305,13844.39,NETBANKING
PAY1439,B1253,14029.28,NETBANKING
PAY1440,B1179,4786.25,NETBANKING
PAY1441,B1039,6604.98,CARD
PAY1442,B1775,13185.54,UPI
PAY1443,B1700,6028.27,CARD
PAY1444,B1519,9403.54,NETBANKING
PAY1445,B1615,2652.76,CARD
PAY1446,B1736,1787.85,CARD
PAY1447,B1545,6767.92,NETBANKING
PAY1448,B1235,,NETBANKING
PAY1449,B1462,6497.79,CARD
PAY1450,B1227,,CARD
PAY1451,B1699,8211.18,CARD
PAY1452,B1824,10599.9,CARD
PAY1453,B1482,10093.45,UPI
PAY1454,B1429,6939.44,CARD
PAY1455,B1021,6949.93,UPI
PAY1456,B1342,,NETBANKING
PAY1457,B1039,8185.34,UPI
PAY1458,B1172,9220.51,NETBANKING
PAY1459,B1438,7670.85,UPI
PAY1460,B1178,,NETBANKING
PAY1461,B1597,11103.08,CARD
PAY1462,B1132,2045.26,UPI
PAY1463,B1350,13802.17,UPI
PAY1464,B1524,1289.01,NETBANKING
PAY1465,B1539,14472.9,NETBANKING
PAY1466,B1505,7472.98,UPI
PAY1467,B1083,6777.38,NETBANKING
PAY1468,B1992,4590.22,CARD
PAY1469,B1463,1141.0,UPI
PAY1470,B1829,4847.06,CARD
PAY1471,B1860,2531.6,UPI
PAY1472,B1342,10237.49,CARD
PAY1473,B1279,5467.05,UPI
PAY1474,B1865,11740.51,NETBANKING
PAY1475,B1262,3896.83,UPI
PAY1476,B1165,13603.29,CARD
PAY1477,B1292,8321.74,UPI
PAY1478,B1508,2603.09,CARD
PAY1479,B1579,6611.83,CARD
PAY1480,B1225,3894.65,CARD
PAY1481,B1169,3795.6,NETBANKING
PAY1482,B1597,8089.18,UPI
PAY1483,B1644,10406.49,CARD
PAY1484,B1447,13762.65,NETBANKING
PAY1485,B1689,8030.27,CARD
PAY1486,B1854,14521.74,UPI
PAY1487,B1501,14182.89,NETBANKING
PAY1488,B1763,,CARD
PAY1489,B1526,7999.68,CARD
PAY1490,B1734,2972.66,CARD
PAY1491,B1378,4050.66,UPI
PAY1492,B1200,10067.38,NETBANKING
PAY1493,B1618,6904.57,NETBANKING
PAY1494,B1249,3055.22,NETBANKING
PAY1495,B1948,7705.92,CARD
PAY1496,B1408,1244.03,NETBANKING
PAY1497,B1600,11274.54,CARD
PAY1498,B1124,2030.14,UPI
PAY1499,B1112,9807.59,NETBANKING
PAY1500,B1980,12102.14,CARD
PAY1501,B1136,2857.01,NETBANKING
PAY1502,B1758,8260.94,NETBANKING
PAY1503,B1495,11906.95,UPI
PAY1504,B1677,4648.87,NETBANKING
PAY1505,B1149,3280.83,UPI
PAY1506,B1874,5715.47,NETBANKING
PAY1507,B1342,8765.79,NETBANKING
PAY1508,B1944,9053.91,NETBANKING
PAY1509,B1579,2832.27,NETBANKING
PAY1510,B1732,7405.96,NETBANKING
PAY1511,B1782,4755.95,NETBANKING
PAY1512,B1320,12788.34,UPI
PAY1513,B1821,5390.05,UPI
PAY1514,B1925,12741.86,CARD
PAY1515,B1860,6999.9,NETBANKING
PAY1516,B1531,11172.2,UPI
PAY1517,B1288,8140.84,NETBANKING
PAY1518,B1488,9707.48,NETBANKING
PAY1519,B1491,6534.99,UPI
PAY1520,B1611,11754.89,NETBANKING
PAY1521,B1251,6952.65,UPI
PAY1522,B1981,7404.46,UPI
PAY1523,B1076,8247.5,CARD
PAY1524,B1646,12645.54,CARD
PAY1525,B1391,10231.31,CARD
PAY1526,B1411,5888.25,CARD
PAY1527,B1172,10384.47,NETBANKING
PAY1528,B1874,9993.97,NETBANKING
PAY1529,B1200,14034.27,CARD
PAY1530,B1216,12779.83,UPI
PAY1531,B1375,10064.26,UPI
PAY1532,B1719,5781.1,UPI
PAY1533,B1585,11914.07,UPI
PAY1534,B1010,,NETBANKING
PAY1535,B1798,14793.78,UPI
PAY1536,B1767,4465.09,UPI
PAY1537,B1011,2115.18,CARD
PAY1538,B1891,1978.49,UPI
PAY1539,B1990,9960.43,NETBANKING
PAY1540,B1589,14149.64,UPI
PAY1541,B1434,1027.05,UPI
PAY1542,B1683,11160.79,NETBANKING
PAY1543,B1607,10198.91,CARD
PAY1544,B1817,11252.26,NETBANKING
PAY1545,B1372,5975.68,CARD
PAY1546,B1272,12486.95,UPI
PAY1547,B1930,1625.9,CARD
PAY1548,B1896,,CARD
PAY1549,B1924,4739.01,CARD
PAY1550,B1690,7675.73,UPI
PAY1551,B1575,12516.91,CARD
PAY1552,B1508,4799.03,CARD
PAY1553,B1131,3592.91,UPI
PAY1554,B1854,10538.38,NETBANKING
PAY1555,B1923,8467.53,NETBANKING
PAY1556,B1783,8201.65,NETBANKING
PAY1557,B1318,4594.77,UPI
PAY1558,B1843,1488.32,UPI
PAY1559,B1948,6743.77,NETBANKING
PAY1560,B1852,2491.83,CARD
PAY1561,B1620,13683.85,NETBANKING
PAY1562,B1784,1577.5,UPI
PAY1563,B1167,7043.11,CARD
PAY1564,B1396,1731.44,CARD
PAY1565,B1179,2337.61,UPI
PAY1566,B1057,10224.13,CARD
PAY1567,B1479,10059.56,NETBANKING
PAY1568,B1932,,UPI
PAY1569,B1590,1015.84,UPI
PAY1570,B1459,2103.45,UPI
PAY1571,B1060,11681.98,UPI
PAY1572,B1368,9184.07,CARD
PAY1573,B1120,1533.66,UPI
PAY1574,B1718,7833.36,UPI
PAY1575,B1545,10968.41,CARD
PAY1576,B1581,,UPI
PAY1577,B1016,14076.51,CARD
PAY1578,B1495,5584.17,CARD
PAY1579,B1496,2901.65,UPI
PAY1580,B1504,4316.96,NETBANKING
PAY1581,B1531,,UPI
PAY1582,B1968,14600.78,NETBANKING
PAY1583,B1314,7529.51,CARD
PAY1584,B1068,5274.94,NETBANKING
PAY1585,B1726,7008.67,UPI
PAY1586,B1160,5267.38,UPI
PAY1587,B1613,4590.83,NETBANKING
PAY1588,B1887,9312.51,UPI
PAY1589,B1717,1220.3,NETBANKING
PAY1590,B1144,,CARD
PAY1591,B1568,,NETBANKING
PAY1592,B1594,1448.88,NETBANKING
PAY1593,B1992,2164.83,NETBANKING
PAY1594,B1384,5107.55,NETBANKING
PAY1595,B1268,13289.27,CARD
PAY1596,B1922,11708.41,CARD
PAY1597,B1453,1310.19,CARD
PAY1598,B1698,8023.98,NETBANKING
PAY1599,B1517,,CARD
PAY1600,B1864,10081.04,UPI
PAY1601,B1349,11101.75,CARD
PAY1602,B1109,13080.08,NETBANKING
PAY1603,B1482,7655.83,UPI
PAY1604,B1406,14922.3,NETBANKING
PAY1605,B1649,14719.81,UPI
PAY1606,B1050,13350.33,NETBANKING
PAY1607,B1402,9048.17,NETBANKING
PAY1608,B1562,6572.09,UPI
PAY1609,B1475,6101.41,CARD
PAY1610,B1086,1169.75,UPI
PAY1611,B1067,4488.44,UPI
PAY1612,B1595,11063.32,UPI
PAY1613,B1978,9450.85,UPI
PAY1614,B1041,13829.91,UPI
PAY1615,B1730,,NETBANKING
PAY1616,B1056,3173.87,NETBANKING
PAY1617,B1737,12049.41,CARD
PAY1618,B1195,6019.11,CARD
PAY1619,B1759,2656.83,UPI
PAY1620,B1677,14950.31,CARD
PAY1621,B1061,12021.5,CARD
PAY1622,B1262,6722.37,UPI
PAY1623,B1111,,NETBANKING
PAY1624,B1764,10528.45,NETBANKING
PAY1625,B1710,12059.65,CARD
PAY1626,B1177,12412.89,NETBANKING
PAY1627,B1947,2186.2,NETBANKING
PAY1628,B1025,9721.62,CARD
PAY1629,B1409,1095.0,UPI
PAY1630,B1757,1608.39,CARD
PAY1631,B1530,13655.72,CARD
PAY1632,B1776,8385.89,CARD
PAY1633,B1316,11302.63,UPI
PAY1634,B1531,12739.01,UPI
PAY1635,B1105,14294.21,UPI
PAY1636,B1748,13170.94,UPI
PAY1637,B1817,7766.36,CARD
PAY1638,B1463,5703.58,NETBANKING
PAY1639,B1245,3162.91,CARD
PAY1640,B1080,6604.5,UPI
PAY1641,B1661,6130.91,NETBANKING
PAY1642,B1908,8834.05,CARD
PAY1643,B1395,10317.13,NETBANKING
PAY1644,B1521,,UPI
PAY1645,B1832,11197.41,NETBANKING
PAY1646,B1735,10012.48,NETBANKING
PAY1647,B1925,5691.29,UPI
PAY1648,B1263,1483.05,NETBANKING
PAY1649,B1660,5033.75,CARD
PAY1650,B1789,11758.27,NETBANKING
PAY1651,B1273,3873.81,CARD
PAY1652,B1705,10970.63,NETBANKING
PAY1653,B1943,9116.92,NETBANKING
PAY1654,B1171,3406.0,UPI
PAY1655,B1264,4662.75,UPI
PAY1656,B1962,7948.25,CARD
PAY1657,B1821,,UPI
PAY1658,B1025,11899.89,UPI
PAY1659,B1468,11281.66,UPI
PAY1660,B1861,9044.04,UPI
PAY1661,B1475,12511.85,UPI
PAY1662,B1355,8877.37,CARD
PAY1663,B1025,14501.45,CARD
PAY1664,B1033,,UPI
PAY1665,B1263,10997.85,UPI
PAY1666,B1137,6179.22,CARD
PAY1667,B1815,4905.53,NETBANKING
PAY1668,B1694,3525.42,CARD
PAY1669,B1874,8735.05,NETBANKING
PAY1670,B1753,4016.57,UPI
PAY1671,B1565,3804.91,UPI
PAY1672,B1461,14867.45,CARD
PAY1673,B1167,12224.46,UPI
PAY1674,B1630,11475.88,NETBANKING
PAY1675,B1654,12116.85,NETBANKING
PAY1676,B1080,14564.92,CARD
PAY1677,B1756,,NETBANKING
PAY1678,B1913,4083.41,CARD
PAY1679,B1863,13070.93,CARD
PAY1680,B1869,11398.23,NETBANKING
PAY1681,B1406,6800.32,NETBANKING
PAY1682,B1573,7629.97,NETBANKING
PAY1683,B1045,,NETBANKING
PAY1684,B1598,14019.19,NETBANKING
PAY1685,B1610,5809.44,NETBANKING
PAY1686,B1806,14488.78,NETBANKING
PAY1687,B1910,13743.8,UPI
PAY1688,B1052,9827.3,CARD
PAY1689,B1983,9117.5,CARD
PAY1690,B1703,6181.25,NETBANKING
PAY1691,B1958,1256.74,CARD
PAY1692,B1475,2786.72,NETBANKING
PAY1693,B1591,11559.24,UPI
PAY1694,B1015,7601.56,CARD
PAY1695,B1359,3097.73,CARD
PAY1696,B1486,4695.45,UPI
PAY1697,B1837,14269.72,UPI
PAY1698,B1705,6139.86,UPI
PAY1699,B1501,13707.55,CARD
PAY1700,B1140,,CARD
PAY1701,B1619,8605.08,UPI
PAY1702,B1814,1286.68,UPI
PAY1703,B1776,8306.25,UPI
PAY1704,B1446,,UPI
PAY1705,B1289,,UPI
PAY1706,B1208,9105.12,NETBANKING
PAY1707,B1474,10060.35,UPI
PAY1708,B1412,10616.41,NETBANKING
PAY1709,B1676,11869.65,CARD
